score,tier,tracked,slug,display_name,youtube_url,youtube_handle,youtube_channel_id,youtube_type,parent_channel,tags,voditelji,subscribers,subscribers_as_of,episodes_estimate,first_episode,last_episode,avg_duration_min,frequency,status,tier_research,data_quality,sources,num_sources,score_activity,score_catalog,score_audience,score_format,score_substance,score_verification,score_recency,review_needed,review_reason,reason_disabled,permanently_excluded,candidate_phase,min_duration_override,notes
67,✅ strong,YES,tribina-1-na-1-s-vladom,Tribina — 1 na 1 s Vladom na ti,https://www.youtube.com/playlist?list=PL04FaKq-cPte5VZ_i_DQriMGP1HPQbBJq,,,playlist,Tribina,sport; interview,,,,6,,2026-05,88,,active,3,verified,yt-dlp-2026-05,1,25,3,4,15,8,7,5,,,,,,,"Long-form intervju format s Vladom. 6 epizoda, prosjek 88 min."
66,✅ strong,no,nemoj-me,nemoj me. (Maša Zibar),https://www.youtube.com/channel/UCIIMBF5bE6dmjLBLug7fzUQ,@MashintheBeauty,UCIIMBF5bE6dmjLBLug7fzUQ,channel,Mashin' the Beauty,pop-culture; lifestyle,Maša Zibar; Filip Jančik; Nina Remenar,84000,2026-04,200,2019-09,disputed,60,,disputed,1,verified,report; gemini; perplexity; claude-opus,4,12,15,13,8,8,10,0,,,Status sporan između istraživačkih izvora — treba ručna verifikacija prije dodavanja u pipeline.,,,,"Treći po pretplatnicima u HR (~84K po Claude Opus). Distribuiran preko kanala 'Mashin' the Beauty'. Deep research prompt navodi 'Maša Zibar' kao Tier 1 #3 — ovo je isti format pod brandom 'nemoj me.'. STATUS DISPUTE: Gemini = aktivan 03/2026 s ~100K subs. Perplexity = pauziran od 11/2024 (zadnja sezona S05 jesen 2024.). Claude Opus = aktivan 04/2026 s ~84K subs, ~200 ep."
66,✅ strong,YES,netokracija-ladies-of-new-business,Netokracija — Ladies of New Business,https://www.youtube.com/playlist?list=PLta2gH1s4UVTp4HOSLoXOJBVdP8j-u_Ff,,,playlist,Netokracija (Office Talks),technology; digital; business; women,,,,34,,2026-02,37,,active,3,verified,yt-dlp-2026-05,1,25,6,4,15,5,7,4,,,,,,,"34 epizode, prosjek 37 min. Polovina epizoda long-form (50%)."
66,✅ strong,YES,tribina-tenis,Tribina — Tenis,https://www.youtube.com/playlist?list=PL04FaKq-cPtedjOkgni0FJRjdQ_7IYPI9,,,playlist,Tribina,sport; tennis,,,,15,,2026-02,69,,active,3,verified,yt-dlp-2026-05,1,25,3,4,15,8,7,4,,,,,,,"15 epizoda, prosjek 69 min."
64,✅ strong,no,netokracija,Netokracija (Office Talks),https://www.youtube.com/@NetokracijaYT,@NetokracijaYT,UCrolbzqlzSeLTH624wKbtLQ,umbrella,,technology; digital; business,,8000,2025-11,100,2018,,,,active,1,partial,report,1,25,12,8,10,4,5,0,,,"Umbrella entry — sadrzaj se prati per-playlist child entries, ne direktno preko kanala.",,,,Umbrella entry za Netokracija YouTube kanal. Sadrzaj se prati po per-playlist child entries (slugovi 'netokracija-*'). Ne prati se direktno — uvijek per-playlist.
63,✅ strong,no,bliski-susreti-jezicne-vrste,Bliski susreti jezične vrste,https://www.youtube.com/playlist?list=PL8mo50pgDSnA0RFGO5AYe7BHMabdIFTJE,@bliskisusreti,,playlist,,language; culture,Gaj Tomaš,,,100,2020-03,2026-03,60,,active,4,partial,report; gemini,2,25,12,4,6,8,3,5,,,Audio primarno (Apple Podcasts). Slaba YT prisutnost.,,,,
62,✅ strong,YES,netokracija-1on1,Netokracija — 1on1,https://www.youtube.com/playlist?list=PLta2gH1s4UVQAr0dcLur9PRVwSiHE1lMk,,,playlist,Netokracija (Office Talks),technology; digital; interview,,,,1,,2026-05,42,,active,4,verified,yt-dlp-2026-05,1,25,1,4,15,5,7,5,,,,,,,"Nov format, samo 1 epizoda zasad ali mod 2026-05. Niski tier dok ne narastemu epizode."
61,✅ strong,no,podkist-fer,Podkist (FER),https://www.youtube.com/playlist?list=PLCbPTnlOFH9mKLHJ8SGniYcM6lB7PvydS,,,playlist,,science; technology; education,,,,,2023,2026-04,45,,active,3,partial,claude-opus,1,25,4,4,15,7,1,5,,,,,,,"RIJETKA znanost/tehnologija niša. Fakultet elektrotehnike i računarstva, Zagreb."
61,✅ strong,no,sportklub-podcast,Sportklub Podcast,https://www.youtube.com/playlist?list=PLUfoX9GOCZD-sY_i79cJ5QcrFla4ZsOL0,,,playlist,,sport,Ivan Ivković; Josip Juraj Pajvot,,,50,2018-09,,45,,active,3,partial,claude-opus,1,25,9,4,15,7,1,0,,,,,,,"Sport, dio Sportklub TV mreže."
61,✅ strong,no,surove-strasti,Surove Strasti,https://www.youtube.com/c/SuroveStrasti,@SuroveStrasti,,channel,,business; lifestyle,Saša Tenodi; Ivan Voras,,,422,2017-11,2025,90,,active-slowing,1,verified,report; gemini; perplexity; claude-opus,4,18,15,4,6,10,6,2,,,,,,,"surovestrasti.com — pionirski hrvatski podcast (2017). Voditelj Saša Tenodi vodi i Moć komunikacije, Nominis eCommerce, Prodajni Mindset. PLATFORM DISPUTE: Gemini = aktivan na YT s 400+ ep. Perplexity = primarno audio, YouTube sporedan kanal. Claude Opus = 422+ ep, NEMA YouTube kanal, distribucija isključivo Spotify/Apple. Konsenzus 2 od 3 izvora: audio-only."
60,✅ strong,no,audijalog,Audijalog,https://www.youtube.com/@Audijalog,@Audijalog,,channel,,culture,,,,,2021-05,,45,,active,3,partial,claude-opus,1,25,4,4,15,7,5,0,,,Treba verifikacija prije dodavanja.,,,,Glazbeni podcast.
59,👀 moderate,YES,domovina-tv,DOMOVINA.tv,https://www.youtube.com/@domovinatv/videos,@domovinatv,,channel,,own-channel; domoljubni; technology,,,,,,,,,active,,verified,current,1,25,4,4,15,4,7,0,,,,,,,"Vlasnički kanal (DOMOVINA.tv) — uključen u pipeline radi konzistentnosti, ne brojati kao konkurenciju. Tematski fokus: digitalna suverenost, blockchain, hrvatski identitet."
59,👀 moderate,no,laudato-tv,Laudato TV,https://www.youtube.com/@LaudatoTV/videos,@LaudatoTV,,channel,,religious-catholic; regional-media,,,,,,,,,active,3,partial,current-commented; report,2,25,4,4,15,4,7,0,,,"Veliki TV kanal s miješanim sadržajem (vijesti, dugi razgovori, emisije). Broji samo epizode ≥30 min razgovornog formata.",,2,1800,Prva HR obiteljska TV s kršćanskim vrijednostima. Mnogi formati su podcast-style.
59,👀 moderate,no,metautism,Metautism,https://www.youtube.com/@metautism,@metautism,,channel,,health; education,,,,15,2024-02,,30,,active,3,verified,claude-opus,1,25,3,4,15,5,7,0,,,Treba verifikacija prije dodavanja.,,,,RIJETKA niša: autizam i inkluzija.
59,👀 moderate,no,vatrena-obitelj,Vatrena obitelj,,,,channel,HNS,sport; football; institutional,,,,,,2026-04,30,,active,3,partial,claude-opus,1,25,4,4,15,5,1,5,,,Treba pronaći točan HNS YouTube playlist URL.,,,,HNS-ov službeni podcast. Nogomet/reprezentacija.
59,👀 moderate,no,z1-televizija,Z1 Televizija,https://www.youtube.com/@z1televizija/videos,@z1televizija,,channel,,regional-media; media,,,,,,,,,active,3,partial,current-commented; report,2,25,4,4,15,4,7,0,,,"Regionalna TV. Reemitira HKR sadržaj, miješan format.",,2,1800,
57,👀 moderate,YES,tribina-robert-knjaz,Tribina — Robert Knjaz,https://www.youtube.com/playlist?list=PL04FaKq-cPtfern4kqsBM5CPr0mbNZbPr,,,playlist,Tribina,sport; interview,,,,4,,2020-01,40,,active,3,verified,yt-dlp-2026-05,1,25,1,4,15,5,7,0,,,,,,,"Named-guest podcast. 4 epizode, prosjek 40 min."
56,👀 moderate,no,foi-business-talks,FOI Business Talks,https://www.youtube.com/user/foicroatia,@foicroatia,,channel,,business; education,,,,20,2022-10,,30,,active,3,partial,claude-opus,1,25,6,4,15,5,1,0,,,,,,,"Akademski. Fakultet organizacije i informatike, Varaždin."
55,👀 moderate,no,marko-vuletic-podcast,Marko Vuletić Podcast,https://www.youtube.com/c/MarkoVuleti%C4%87official,@MarkoVuletićofficial,,channel,,talk-show; lifestyle,Marko Vuletić,,,,,,45,,active,4,unverified,claude-opus,1,25,4,4,15,7,0,0,,,,,,,Mladi/odrastanje.
54,👀 moderate,no,kuhinjski-element,Kuhinjski Element,https://www.youtube.com/playlist?list=PLsC6O92E0tBgz7cp1erPybA3VJVson3n1,,,playlist,,science; education,Saša Ceci; Martina Manenica; Vida Strasser,,,,2020,,30,,active,3,partial,claude-opus,1,25,4,4,15,5,1,0,,,,,,,Popularna znanost. KakoZašto je platforma Instituta Ruđer Bošković (IRB).
54,👀 moderate,no,slusalica-penkala,Slušalica (Udruga Penkala),https://www.youtube.com/channel/UCDUU6qRAr2FozxtRoZxb6PA,,,channel,,science; education,,,,,2020-03,,30,,active,3,partial,claude-opus,1,25,4,4,15,5,1,0,,,,,,,Znanost/doktorandi. Udruga Penkala.
53,👀 moderate,no,hkm-argumenti,Argumenti (Hrvatska katolička mreža),https://www.youtube.com/playlist?list=PLcQXSuJQoJAoa83nORkJFrd3DvvlQh6nZ,@Hrvatskakatolickamreza,,playlist,,religious-catholic; society; media,Tanja Maleš; Katarina Varenica; Dalija Mock; Branimir Gubić; Marino Erceg,,,500,,disputed,45,,disputed,3,partial,report; gemini; perplexity; claude-opus,4,12,18,4,8,7,4,0,,,VISOKI PRIORITET ali status sporan između 3 izvora — treba ručna verifikacija prije dodavanja u pipeline.,,,,"MAJOR DISPUTE između 3 izvora: (1) Gemini = AKTIVAN 03/2026, povratak nakon ukidanja u 06/2025, urednik Marino Erceg. (2) Perplexity = NEAKTIVAN, posljednje YT epizode 06/2025, nakon 12.06.2025. nema novih objava. (3) Claude Opus = AKTIVAN u 7. sezoni od 2025., emitira ponedjeljak-četvrtak 8:10 na HKR-u, urednici Tanja Maleš, Katarina Varenica, Dalija Mock, Branimir Gubić, isječci na HKM YouTube. Treba ručno provjeriti HKM YouTube kanal i status emisije. hkr.hkm.hr je matični site."
53,👀 moderate,no,lets-learn-croatian,Let's Learn Croatian,https://www.youtube.com/c/LetsLearnCroatian,@LetsLearnCroatian,,channel,,language; diaspora; culture,Uncle Mike; Tony D; DJ Moe,,,,,,,,active,4,partial,claude-opus,1,25,4,4,15,4,1,0,,,Dijasporni podcast — engleski/hrvatski.,,,,Dijasporni podcast. Učenje hrvatskog jezika za hrvatsku dijasporu.
52,👀 moderate,no,croatian-american,Croatian/American,,,,audio-primary,,diaspora; culture,Gaj Tomaš; C.M. Brown,,,,2024-10,2026-03,59,,active,4,partial,gemini,1,25,4,4,6,7,1,5,,,Audio primarno. Dijasporni dvojezični format.,,,,
50,👀 moderate,no,all-things-croatia,All Things Croatia,https://www.youtube.com/@allthingscroatia,@allthingscroatia,,channel,,diaspora; culture,Stanko Zovak,,,,2022-04,2026-03,34,,active,4,partial,gemini,1,25,4,4,6,5,1,5,,,,,,,rss.com/podcasts/allthingscroatia/
49,👀 moderate,no,netokracija-hrvatska,Netokracija — Hrvatska,https://www.youtube.com/playlist?list=PLta2gH1s4UVTHEtB5KyebNXmzxocbEiZ2,,,playlist,Netokracija (Office Talks),technology; digital; regional,,,,154,,2024-10,35,,review,4,verified,yt-dlp-2026-05,1,5,12,4,15,5,7,1,,,"SUMNJA NA DUPLIKAT — 154 epizode, prosjek 35 min, vjerojatno aggregator koji se preklapa s Netokracija Podcast (253 ep). tracking_enabled=false dok se ne provjeri overlap.",,,,"SUMNJA NA DUPLIKAT — 154 epizode, prosjek 35 min, vjerojatno aggregator koji se preklapa s Netokracija Podcast (253 ep). tracking_enabled=false dok se ne provjeri overlap."
48,👀 moderate,no,grizli-office,Grizli Office,https://www.youtube.com/c/GrizliOfficePodcast,@GrizliOfficePodcast,,channel,,business,,10000,2025-11,60,2019,,,,unknown,1,partial,report,1,8,9,11,15,4,1,0,,,,,,,
46,👀 moderate,no,0800-devops,0800-DEVOPS,,,,audio-primary,,technology,Ivan Krnić,,,,,,,,active,4,partial,perplexity; claude-opus,2,25,4,4,6,4,3,0,,,"Audio-only podcast (Spotify/Apple), nema YouTube prisutnosti — pipeline ne podržava.",,,,DevOps/tech podcast. Veteran iz hrvatske tech scene.
46,👀 moderate,no,logit,Logit / Logit Live,https://www.youtube.com/c/Logitnet/streams,,,channel,,business; technology,Višnja Željeznjak,484,2026-03,105,,2023,45,,completed,4,verified,report; gemini; perplexity; claude-opus,4,0,12,2,15,7,10,0,,,ZAVRŠEN nakon 105 epizoda. Arhiviran radi povijesnog konteksta.,,,,"B2B digitalni marketing podcast, 105 epizoda. ZAVRŠEN. Voditeljica Višnja Željeznjak je također povezana s aktivnim Eduza Show podcastom. Disputes: Gemini = 109 ep i 'inactive', Claude Opus = 105 ep i 'completed' (Logit Live)."
44,👀 moderate,no,croatiansports-podcast,CroatianSports Podcast,https://www.youtube.com/@croatiansports,@croatiansports,,channel,,sport; diaspora,Lovre Nikolac,,,,,,,,active,4,partial,claude-opus,1,25,4,4,6,4,1,0,,,Audio-only dijasporni podcast — engleski jezik.,,,,Hrvatski sport na engleskom za dijasporu.
44,👀 moderate,no,povijest-cetvrtkom,Povijest četvrtkom,https://www.youtube.com/@Povijestcetvrtkom,@Povijestcetvrtkom,,channel,,history,Dario Špelić,,,,,,,,active,4,partial,claude-opus,1,25,4,4,6,4,1,0,,,,,,,HRT podcast o povijesti. Apple Podcasts HR #1 u kategoriji.
44,👀 moderate,no,sbs-croatian,SBS Croatian,https://www.youtube.com/playlist?list=PLA65Ww7iGS2p1nzZlgZ6mA1lX_vHZfCQk,,,playlist,,media; diaspora,,,,,,,,,active,4,partial,claude-opus,1,25,4,4,6,4,1,0,,,Audio-only dijasporni podcast (SBS Audio).,,,,Vijesti za hrvatsku dijasporu u Australiji. Službeni SBS Croatian program.
43,👀 moderate,YES,catholic-futurist,Catholic Futurist,https://www.youtube.com/@CatholicFuturist/videos,@CatholicFuturist,,channel,,religious-catholic; technology,,,,,,,,,unknown,3,partial,current; report; perplexity; claude-opus,4,8,4,4,15,4,8,0,YES,"Perplexity: kanal je na ENGLESKOM jeziku (AI, budućnost rada), nije hrvatski podcast. Claude Opus: nije pronađen kroz web pretrage. Razmisliti je li smisleno pratiti ne-hrvatski kanal.",,,,,"Disputes: Perplexity tvrdi da je na engleskom jeziku (tematski AI/vjera, ne hrvatski). Claude Opus ga nije pronašao kroz web pretrage. Currently tracked u refresh_podcasts.sh — jezik treba potvrditi."
43,👀 moderate,YES,glas-poduzetnika,Glas poduzetnika,https://www.youtube.com/@glaspoduzetnika8972/videos,@glaspoduzetnika8972,,channel,,business; advocacy,Hrvoje Bujas,,,,,,,,unknown,3,partial,current; report; perplexity; claude-opus,4,8,4,4,15,4,8,0,YES,"Claude Opus: 'Glas poduzetnika je organizacija (Hrvoje Bujas), nema vlastiti podcast'. Perplexity sličan zaključak. Razmisliti o disable jer možda nema serijski podcast format.",,,,,Udruga Glas poduzetnika. Surove Strasti su radile 'Surove Strasti – specijal Glas Poduzetnika' epizode. Treba provjeriti ima li samostalni serijski format.
42,👀 moderate,YES,40-dana-za-zivot,40 dana za život - Hrvatska za Život,https://www.youtube.com/@40danaza%C5%BEivot-Hrvatskaza%C5%BDivot/videos,@40danazaživot-HrvatskazaŽivot,,channel,,pro-life; religious-catholic,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,
42,👀 moderate,YES,bozanstvena-komedija,Božanstvena Komedija,https://www.youtube.com/@Bo%C5%BEanstvenaKomedija/videos,@BožanstvenaKomedija,,channel,,religious-catholic; domoljubni,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,
42,👀 moderate,YES,bozja-pobjeda,Božja pobjeda,https://www.youtube.com/@Bo%C5%BEjapobjeda/videos,@Božjapobjeda,,channel,,religious-catholic,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,
42,👀 moderate,YES,budi-frajer,Budi FRAjer,https://www.youtube.com/@budiFRAjer/videos,@budiFRAjer,,channel,,religious-catholic; franciscan,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,
42,👀 moderate,YES,duhovnost-hagio,Duhovnost Hagio,https://www.youtube.com/@duhovnosthagio6031/videos,@duhovnosthagio6031,,channel,,religious-catholic,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,
42,👀 moderate,YES,eho-projekt,Eho Projekt,https://www.youtube.com/@ehoprojekt/videos,@ehoprojekt,,channel,,religious-catholic; education,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,
42,👀 moderate,YES,franjina-ekonomija,Franjina ekonomija,https://www.youtube.com/@franjinaekonomijahrvatska8604/videos,@franjinaekonomijahrvatska8604,,channel,,economics; religious-catholic,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,Vjerojatno franjevačka socijalna nauka.
42,👀 moderate,YES,glas-koncila,Glas Koncila,https://www.youtube.com/@gkonline1/videos,@gkonline1,,channel,,religious-catholic; media,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,Službeni YouTube kanal Glasa Koncila.
42,👀 moderate,YES,gorica-tv,Gorica TV,https://www.youtube.com/@GoricaTV/videos,@GoricaTV,,channel,,regional-media,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,Lokalna televizija (Velika Gorica). Provjeriti ima li podcast/razgovorni format.
42,👀 moderate,YES,hercegovina-info,Hercegovina Info,https://www.youtube.com/@HercegovinaInfo2/videos,@HercegovinaInfo2,,channel,,regional-media,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,Regionalni medij (BiH/HR).
42,👀 moderate,YES,hitna-pomoc-za-nemirne,Hitna pomoć za nemirne,https://www.youtube.com/@hitnapomoczanemirne7345/videos,@hitnapomoczanemirne7345,,channel,,,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,Tematika nepoznata — istražiti.
42,👀 moderate,YES,hnb,HNB - Hrvatska narodna banka,https://www.youtube.com/@hrvatskanarodnabankacroati9475/videos,@hrvatskanarodnabankacroati9475,,channel,,institutional; finance,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,Institucionalni kanal HNB-a. Provjeriti ima li razgovorni format ili samo službene objave.
42,👀 moderate,YES,ikra-institut,IKRA Institut,https://www.youtube.com/@ikra-institut/videos,@ikra-institut,,channel,,education,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,
42,👀 moderate,YES,iva-kraljevic,Iva Kraljević,https://www.youtube.com/@ivakraljevic./videos,@ivakraljevic.,,channel,,religious-catholic,Iva Kraljević,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,
42,👀 moderate,YES,kko-hr,KKO.hr,https://www.youtube.com/@kkohr/videos,@kkohr,,channel,,religious-catholic,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,Vjerojatno 'Kršćanski kulturni okvir'.
42,👀 moderate,YES,marijanski-zavjet,Marijanski zavjet,https://www.youtube.com/@marijanskizavjet/videos,@marijanskizavjet,,channel,,religious-catholic,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,
42,👀 moderate,YES,marin-miletic,Marin Miletić,https://www.youtube.com/@MileticMarin_/videos,@MileticMarin_,,channel,,religious-catholic; political-conservative,Marin Miletić,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,
42,👀 moderate,YES,merz-institut,Merz Institut (Za vječnu slavu),https://www.youtube.com/@zavjecnuslavu6073/videos,@zavjecnuslavu6073,,channel,,religious-catholic; education,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,Handle 'zavjecnuslavu6073' — verbalno 'Za vječnu slavu'.
42,👀 moderate,YES,mreze-rijeci,Mreže Riječi,https://www.youtube.com/@mrezerijeci/videos,@mrezerijeci,,channel,,religious-catholic,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,
42,👀 moderate,YES,muzevni-budite,Muževni budite!,https://www.youtube.com/@muzevnibudite/videos,@muzevnibudite,,channel,,religious-catholic; masculinity,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,
42,👀 moderate,YES,nanovoroeni,Na novo rođeni,https://www.youtube.com/@nanovoroeni3392/videos,@nanovoroeni3392,,channel,,religious-catholic; testimonies,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,
42,👀 moderate,no,netokracija-digitalni-dorucak,Netokracija — Digitalni doručak,https://www.youtube.com/playlist?list=PLta2gH1s4UVQzf-ZfA98E-8oat7o1HSS8,,,playlist,Netokracija (Office Talks),technology; digital,,,,10,,2022-04,63,,paused,4,verified,yt-dlp-2026-05,1,5,3,4,15,8,7,0,,,"Zadnja modifikacija 2022-04 — vjerojatno pauziran/zatvoren format. 10 epizoda, prosjek 63 min. Promote kasnije ako se ponovo aktivira.",,,,"Zadnja modifikacija 2022-04 — vjerojatno pauziran/zatvoren format. 10 epizoda, prosjek 63 min. Promote kasnije ako se ponovo aktivira."
42,👀 moderate,no,ora-et-labora,Ora et Labora (Međugorje),https://www.youtube.com/@oraetlabora.cro-medjugorje/videos,@oraetlabora.cro-medjugorje,,channel,,religious-catholic,,,,,,,,,unknown,3,partial,current-commented; report,2,8,4,4,15,4,7,0,,,"Veliki kanal, miješan sadržaj.",,2,1800,
42,👀 moderate,no,pod-smokvom,Pod Smokvom (REJECTED — kraće od 30 min),https://www.youtube.com/c/PodSmokvom,,,channel,,religious-catholic,,,,,,,10,,active,,verified,claude-opus,1,25,4,4,0,2,7,0,,,REJECTED: dnevne meditacije od 10 minuta — ne zadovoljava ≥30 min razgovorni format definiciju.,YES,,,"REJECTED — Claude Opus utvrdio: dnevne meditacije (10 min), ne zadovoljava ≥30 min kriterij. ~60 volontera, više svećenika. Aktivan kanal ali izvan podcast definicije."
42,👀 moderate,YES,podcast-by-niko,Podcast by Niko,https://www.youtube.com/@PodcastbyNiko/videos,@PodcastbyNiko,,channel,,talk-show,Niko,,,5,,2025,60,,inactive,3,verified,current; report; gemini,3,0,3,4,15,8,10,2,YES,"Gemini 03/2026 — neaktivan, samo ~5 objavljenih epizoda, posljednji upload prije više od godinu dana. Razmisliti o disabling.",,,,,Sadrži pravi podcast format (gostovanja Matije Ptića i Marija Vujinovića) ali nije održao produkcijski ritam.
42,👀 moderate,YES,podcast-za-bolju-hrvatsku,Podcast za bolju Hrvatsku,https://www.youtube.com/@PodcastzaBoljuHrvatsku/videos,@PodcastzaBoljuHrvatsku,,channel,,political; society,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,Gemini napominje da Mislav Kolakušić nema klasičan podcast format. Provjeriti je li ovo ista koalicija/srodni kanal ili odvojeni podcast format.
42,👀 moderate,YES,poduzetnistvo-s-povjerenjem,Poduzetništvo s povjerenjem,https://www.youtube.com/@poduzetnistvospovjerenjem/videos,@poduzetnistvospovjerenjem,,channel,,entrepreneurship; religious-catholic; business,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,
42,👀 moderate,no,prvi-glas-telegram,Prvi glas (Telegram.hr),https://www.youtube.com/playlist?list=PL3YKTluJTGBqgGQQfP9DcdrDWuFZcSuqE,,,playlist,,media; society,,,,,2025,,15,,active,4,partial,claude-opus,1,25,4,4,6,2,1,0,,,,,,,Prvi hrvatski dnevni news podcast (15 min). Pokrenut 2025. od strane Telegram.hr redakcije.
42,👀 moderate,YES,rastuci-s-djecom,Rastući s djecom,https://www.youtube.com/@Rastucisdjecom/videos,@Rastucisdjecom,,channel,,parenting; religious-catholic,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,
42,👀 moderate,YES,sapere-aude,Sapere Aude Cro,https://www.youtube.com/@SapereAudeCro/videos,@SapereAudeCro,,channel,,philosophy; culture,,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,
42,👀 moderate,no,sportske-novosti-podcast,Sportske Novosti Podcast,,,,channel,Sportske Novosti,sport,,,,50,2019-06,,30,,unknown,3,partial,claude-opus,1,8,9,4,15,5,1,0,,,Treba pronaći točan SN YT URL.,,,,"Sport, dio Sportskih Novosti."
42,👀 moderate,YES,zeljka-markic-i-narod-hr,Željka Markić i Narod.hr,https://www.youtube.com/@zeljkamarkicinarod/videos,@zeljkamarkicinarod,,channel,,political-conservative,Željka Markić,,,,,,,,unknown,3,partial,current; report,2,8,4,4,15,4,7,0,,,,,,,
40,👀 moderate,no,most-hrvatska,Most Hrvatska,https://www.youtube.com/@MostHrvatska/videos,@MostHrvatska,,channel,,political; political-party,,,,,,,,,unknown,3,unverified,current-commented; report,2,8,4,4,15,4,5,0,,,Politička stranka. Provjeriti ima li podcast/razgovorni format ili samo politički sadržaj.,,2,,
40,👀 moderate,no,pogled-s-cuke,Pogled s Čuke,https://www.youtube.com/c/pogledscuke,@pogledscuke,,channel,,domovinski-rat; history; domoljubni,Jozo; Peco,,,30,,,45,,unknown,3,unverified,claude-opus,1,8,6,4,15,7,0,0,,,,,,,Branitelji / Domovinski rat. Tematski uskladiv s DOMOVINA.tv. Pseudonimi voditelja 'Jozo' i 'Peco'.
38,📦 weak,no,neven-vidakovic,Neven Vidaković,https://www.youtube.com/@nevenvidakovic,@nevenvidakovic,,channel,,theology; philosophy,Neven Vidaković,,,,,,,,unknown,3,unverified,report,1,8,4,4,15,4,3,0,,,"Kandidat za dodavanje u pipeline. URL je poznat, treba verifikacija metapodataka i odluka o uključivanju.",,,,"Iz deep_research_prompt Tier 3, nije u trenutnom refresh_podcasts.sh."
38,📦 weak,no,nova-eva,Nova Eva,https://www.youtube.com/@NovaEva,@NovaEva,,channel,,religious-catholic; evangelization,,,,,,,,,unknown,3,unverified,report,1,8,4,4,15,4,3,0,,,"Kandidat za dodavanje u pipeline. URL je poznat, treba verifikacija metapodataka i odluka o uključivanju.",,,,"Katolička evangelizacija. Iz deep_research_prompt Tier 3, nije u trenutnom refresh_podcasts.sh."
37,📦 weak,no,birc-talk,Birc Talk,https://www.youtube.com/channel/UCQxfuSwkCySfpsftoHlo8Yw,,UCQxfuSwkCySfpsftoHlo8Yw,channel,,talk-show; lifestyle,Petar Starčević; Oliver Petrović,2000,,30,2019,2021-03,,,inactive,4,verified,claude-opus,1,0,6,5,15,4,7,0,,,NEAKTIVAN od 03/2021. Arhiviran u registry-ju radi povijesnog konteksta.,,,,Neaktivan od ožujka 2021. Intervjui/lifestyle.
37,📦 weak,YES,horizonti-liderstva,Horizonti Liderstva,https://www.youtube.com/@HorizontiLiderstva/videos,@HorizontiLiderstva,,channel,,business; leadership,Filip Đurović,109,2026-03,15,,,45,,inactive,3,verified,current; report; gemini; perplexity; claude-opus,5,0,3,2,15,7,10,0,YES,"Gemini i Claude Opus klasificiraju kao neaktivan (15 ep, 109 subs). Perplexity tvrdi da je studentski projekt iz Crne Gore/regije — moguće da je u pitanju drugi kanal s istim imenom. Treba ručno verificirati URL i razmotriti disable.",,,,,"NEAKTIVAN. Disputes: Gemini i Claude Opus = mali HR poslovni kanal (109 subs), neaktivan. Perplexity = studentski podcast iz Crne Gore/regije o liderstvu, tehnologiji i Bitcoinu. Vjerojatno različiti kanali s istim imenom — treba pronaći točan URL."
35,📦 weak,no,fakat-podcast,Fakat Podcast,https://www.youtube.com/channel/UCKrBWYif4EuYSE2RCnv_S3Q,,,channel,,,,,,,,,,,unknown,2,unverified,report,1,8,4,4,15,4,0,0,,,"Iz podcast.hr liste, treba istražiti format i tematiku.",,,,podcast.hr/p/fakat
